rank,title,original_title,year,rating,vote_count,director,genres,mood_tags,imdb_id
194,野草莓,Smultronstället,1957,8.096,1746,英格玛·伯格曼,剧情,非常hope|值得一看|情感真挚,tt0050986
195,狩猎,Jagten,2012,8.094,4533,托马斯·温特伯格,剧情,非常anger|非常joy,tt2106476
196,圣母街上的大人物,I soliti ignoti,1958,8.1,750,Mario Monicelli,喜剧|犯罪,值得推荐|非常joy|情感丰富,tt0052216
197,花样年华,花樣年華,2000,8.093,3083,王家卫,剧情|爱情,非常sadness|非常joy|温暖治愈,tt0118694
198,德州巴黎,"Paris, Texas",1984,8.1,2086,维姆·文德斯,剧情,值得推荐|非常joy|情感丰富,tt0087884
199,暖暖内含光,Eternal Sunshine of the Spotless Mind,2004,8.092,15833,米歇尔·贡德里,科幻|剧情|爱情,有些love|非常sadness|非常joy,tt0338013
200,真人快打传奇：蝎子的复仇,Mortal Kombat Legends: Scorpion's Revenge,2020,8.091,1426,Ethan Spaulding,动画|动作|奇幻,非常joy|非常tension,tt9580138
201,用心棒,用心棒,1961,8.09,1602,黑泽明,剧情|惊悚,非常tension|非常sadness,tt0055630
202,神秘博士：博士之时,Doctor Who: The Time of the Doctor,2013,8.1,302,Jamie Payne,剧情|科幻|电视电影,非常peace|心灵平静,tt2986512
203,热情如火,Some Like It Hot,1959,8.09,3715,比利·怀尔德,喜剧|爱情|犯罪,非常anger|非常joy|非常love,tt0053291
204,你给的仇恨,The Hate U Give,2018,8.089,2187,小乔治·蒂尔曼,犯罪|剧情,非常anger|非常sadness,tt5580266
205,辉夜姬物语,かぐや姫の物語,2013,8.087,1907,高畑勋,动画|剧情|奇幻,非常joy|非常sadness,tt2576852
206,怒火青春,La Haine,1995,8.086,4351,马蒂厄·卡索维茨,剧情,非常fear|紧张刺激,tt0113247
207,从海底出击,Das Boot,1981,8.085,2383,沃尔夫冈·彼得森,剧情|历史|战争,紧张刺激|非常fear|非常sadness,tt0082096
208,新神榜：哪吒重生,新神榜：哪吒重生,2021,8.1,487,赵霁,动画|奇幻|动作,非常joy|非常tension,tt13269670
209,哈利·波特与死亡圣器（下）,Harry Potter and the Deathly Hallows: Part 2,2011,8.084,21450,大卫·叶茨,冒险|奇幻,值得推荐|非常joy|情感丰富,tt1201607
210,看不见的客人,Contratiempo,2017,8.083,4807,奥里奥尔·保罗,剧情|悬疑|惊悚,非常tension|非常love,tt4857264
211,彗星美人,All About Eve,1950,8.1,1626,Joseph L. Mankiewicz,剧情,值得推荐|非常joy|情感丰富,tt0042192
212,天堂的孩子,Les Enfants du Paradis,1945,8.1,438,Marcel Carné,剧情|爱情,值得推荐|非常love|情感丰富,tt0037674
213,山椒大夫,山椒大夫,1954,8.1,407,沟口健二,剧情,值得推荐|非常love|情感丰富,tt0047445
214,家门之外,Far from the Tree,2021,8.1,383,Natalie Nourigat,动画|家庭,值得推荐|非常joy|情感丰富,tt14927356
215,大战争,La grande guerra,1959,8.1,363,Mario Monicelli,喜剧|战争|剧情,非常joy|非常fear|紧张刺激,tt0052861
216,血色将至,There Will Be Blood,2007,8.076,7094,保罗·托马斯·安德森,剧情,非常hope|非常joy,tt0469494
217,怪形,The Thing,1982,8.072,7565,约翰·卡朋特,恐怖|悬疑|科幻,有些love|非常loneliness|非常fear,tt0084787
218,活着,活着,1994,8.069,350,张艺谋,剧情|爱情|战争,非常fear|紧张刺激|非常love,tt0110081
219,天佑鲍比,Prayers for Bobby,2009,8.069,608,拉塞尔·穆卡希,剧情|历史|电视电影,有些love|非常fear|非常sadness,tt1073510
220,灿烂人生,La meglio gioventù,2003,8.069,582,马可·图利欧·吉欧达纳,剧情|历史|爱情,值得推荐|非常love|情感丰富,tt0346336
221,龙猫,となりのトトロ,1988,8.067,8479,宫崎骏,奇幻|动画|家庭,值得推荐|非常joy|情感丰富,tt0096283
222,M就是凶手,M - Eine Stadt sucht einen Mörder,1931,8.067,2358,弗里德里希·朗,剧情|惊悚|犯罪,非常anger|非常tension|非常sadness,tt0022100
223,蜗牛回忆录,Memoir of a Snail,2024,8.065,695,亚当·艾略特,动画|剧情|喜剧,非常joy|非常sadness,tt23770030
224,2001太空漫游,2001: A Space Odyssey,1968,8.063,12175,斯坦利·库布里克,科幻|悬疑|冒险,引人深思|非常tension|情感强烈,tt0062622
225,三块广告牌,"Three Billboards Outside Ebbing, Missouri",2017,8.061,10579,马丁·麦克唐纳,犯罪|剧情,非常anger|值得一看|情感真挚,tt5027774
226,紫心之恋,Purple Hearts,2022,8.1,2775,伊丽莎白·艾伦·罗森鲍姆,爱情|剧情,非常hope|悲伤但充满希望|非常sadness,tt4614584
227,傲慢与偏见,Pride & Prejudice,2005,8.058,8491,乔·赖特,剧情|爱情,值得推荐|非常joy|情感丰富,tt0414387
228,精英部队,Tropa de Elite,2007,8.057,2591,何塞·帕迪里亚,剧情|动作|犯罪,非常anger|非常tension,tt0861739
229,婚姻生活,Scener ur ett äktenskap,1974,8.1,387,英格玛·伯格曼,剧情|爱情,非常loneliness|非常joy|非常love,tt6725014
230,甜蜜的生活,La dolce vita,1960,8.1,1972,费德里科·费里尼,喜剧|剧情,非常love|非常sadness,tt0053779
231,一条狗的使命2,A Dog's Journey,2019,8.053,1585,Gail Mancuso,家庭|冒险|剧情,非常joy|非常sadness,tt8385474
232,杀人回忆,살인의 추억,2003,8.052,4308,奉俊昊,犯罪|剧情|惊悚,非常peace|心灵平静,tt0353969
233,隐藏人物,Hidden Figures,2016,8.051,10175,西奥多·梅尔菲,剧情|历史,引人深思|情感强烈|非常sadness,tt4846340
234,福尔摩斯二世,Sherlock Jr.,1924,8.05,1100,巴斯特·基頓,动作|喜剧|悬疑,非常tension|非常joy,tt0015324
235,象人,The Elephant Man,1980,8.0,3767,大卫·林奇,剧情|历史,引人深思|情感强烈|非常sadness,tt0080678
236,与神同行2：因与缘,신과함께-인과 연,2018,8.047,716,金容华,动作|冒险|奇幻|惊悚,非常tension|非常joy,tt8116428
237,罗生门,羅生門,1950,8.0,2412,黑泽明,犯罪|剧情|悬疑,非常anger|非常tension|非常sadness,tt0042876
238,为美好的世界献上祝福！红传说,映画 この素晴らしい世界に祝福を！紅伝説,2019,8.046,589,金崎贵臣,动画|冒险|喜剧|奇幻,值得推荐|非常joy|情感丰富,tt9239552
239,出租车司机,택시운전사,2017,8.046,1093,张勋,动作|剧情|历史,非常tension|非常sadness,tt6878038
240,奥本海默,Oppenheimer,2023,8.0,11005,克里斯托弗·诺兰,剧情|历史,值得推荐|非常joy|情感丰富,tt15398776
241,我對你電影版：S先生的報仇,Me contro Te: Il film - La vendetta del Signor S,2020,8.0,469,Gianluca Leuzzi,家庭|奇幻,值得推荐|非常joy|情感丰富,tt11559652
242,雄狮,Lion,2016,8.042,6805,加斯·戴维斯,剧情,值得推荐|非常joy|情感丰富,tt3741834
243,乱,乱,1985,8.042,1707,黑泽明,动作|剧情|历史,非常hope|值得一看|情感真挚,tt0089881
244,吉尔莫·德尔·托罗的匹诺曹,Guillermo del Toro's Pinocchio,2022,8.041,3187,马克·古斯塔夫森,动画|奇幻|冒险|剧情,引人深思|情感强烈|非常sadness,tt1488589
245,特殊的一天,Una giornata particolare,1977,8.0,728,Ettore Scola,剧情|爱情,非常love|非常sadness,tt0076085
246,窃听风暴,Das Leben der Anderen,2006,8.038,3937,弗洛里安·亨克尔·冯·多纳斯马尔克,剧情|惊悚,非常tension|非常sadness,tt0405094
247,驯龙高手：归家,How to Train Your Dragon: Homecoming,2019,8.0,1067,蒂姆·约翰逊,动画|奇幻|冒险|家庭,值得推荐|非常joy|情感丰富,tt11112140
248,与神同行：罪与罚,신과함께-죄와 벌,2017,8.038,1133,金容华,动作|冒险|剧情|奇幻|惊悚,值得推荐|非常love|情感丰富,tt7160070
249,相信我：被诱拐的丽莎·麦克维,Believe Me: The Abduction of Lisa McVey,2018,8.034,667,Jim Donovan,剧情|电视电影|犯罪,非常anger|非常sadness,tt9072202
250,布达佩斯大饭店,The Grand Budapest Hotel,2014,8.033,15557,韦斯·安德森,喜剧|剧情,值得推荐|非常joy|情感丰富,tt2278388
