rank,title,original_title,year,rating,vote_count,director,genres,mood_tags,imdb_id
45,激进教学,Radical,2023,8.356,482,Christopher Zalla,剧情,非常anger|值得一看|情感真挚,tt14570440
46,天国与地狱,天国と地獄,1963,8.3,1048,黑泽明,剧情|犯罪,非常anger|非常sadness,tt0057565
47,后窗,Rear Window,1954,8.3,6908,阿尔弗雷德·希区柯克,惊悚|悬疑,引人深思|非常tension|情感强烈,tt0047396
48,沉默的羔羊,The Silence of the Lambs,1991,8.346,17303,乔纳森·戴米,犯罪|惊悚|剧情,引人深思|非常tension|情感强烈,tt0102926
49,蜘蛛侠：纵横宇宙,Spider-Man: Across the Spider-Verse,2023,8.34,8056,肯普·鲍尔斯,动画|动作|冒险|科幻,非常anger|非常love,tt9362722
50,美国X档案,American History X,1998,8.331,12182,托尼·凯耶,剧情,非常anger|非常joy|非常fear,tt0120586
51,幽灵公主,もののけ姫,1997,8.326,8618,宫崎骏,冒险|奇幻|动画,非常anger|值得一看|情感真挚,tt0119698
52,回到未来,Back to the Future,1985,8.323,21102,罗伯特·泽米吉斯,冒险|喜剧|科幻,非常love|非常fear|紧张刺激,tt0088763
53,罗小黑战记,罗小黑战记,2019,8.322,422,MTJJ,动画|奇幻|动作,非常joy|非常tension,tt10734928
54,荒野机器人,The Wild Robot,2024,8.318,5521,克里斯·桑德斯,动画|科幻|家庭|冒险|剧情,非常hope|悲伤但充满希望|非常joy,tt29623480
55,五等分的新娘 剧场版,映画 五等分の花嫁,2022,8.3,424,神保昌登,动画|喜剧|爱情,值得推荐|非常love|情感丰富,tt15721650
56,生之欲,生きる,1952,8.3,1257,黑泽明,剧情,非常loneliness|非常joy|非常love,tt0044741
57,同级生,同級生,2016,8.3,420,中村章子,爱情|动画,值得推荐|非常love|情感丰富,tt5526028
58,死亡诗社,Dead Poets Society,1989,8.3,12068,彼得·威尔,剧情,引人深思|非常tension|情感强烈,tt0097165
59,未麻的部屋,PERFECT BLUE,1998,8.299,2988,今敏,动画|惊悚,非常tension|非常fear|紧张刺激,tt0156887
60,这个杀手不太冷,Léon,1994,8.3,15590,吕克·贝松,犯罪|剧情|动作,非常loneliness|非常joy|温暖治愈,tt0110413
61,牯岭街少年杀人事件,牯嶺街少年殺人事件,1991,8.3,363,杨德昌,犯罪|剧情|爱情,值得推荐|非常love|情感丰富,tt0101985
62,紫罗兰永恒花园 剧场版,劇場版 ヴァイオレット・エヴァーガーデン,2020,8.294,469,石立太一,动画|奇幻|爱情|剧情,温暖治愈|非常joy|非常love,tt8652818
63,乔西的虎与鱼,ジョゼと虎と魚たち,2020,8.291,552,田村耕太郎,动画|剧情|爱情,非常joy|非常love|温暖治愈,tt12879624
64,大独裁者,The Great Dictator,1940,8.3,3566,查理·卓别林,喜剧|战争,非常hope|值得一看|情感真挚,tt0032553
65,日落大道,Sunset Boulevard,1950,8.287,2795,比利·怀尔德,剧情,非常hope|值得一看|情感真挚,tt0043014
66,献给我的前妻,Dedicada A Mi Ex,2019,8.3,513,Jorge Ulloa,剧情|喜剧,引人深思|情感强烈|非常sadness,tt5869370
67,从前有个工作室,Once Upon a Studio,2023,8.285,407,Trent Correy,动画|家庭|奇幻|喜剧,值得推荐|非常joy|情感丰富,tt28035641
68,我们如此相爱,C'eravamo tanto amati,1974,8.283,625,Ettore Scola,剧情|喜剧,非常hope|值得一看|情感真挚,tt0075793
69,摩登时代,Modern Times,1936,8.3,3925,查理·卓别林,喜剧|剧情|爱情,引人深思|情感强烈|非常sadness,tt0027977
70,西部往事,C'era una volta il West,1968,8.282,4688,赛尔乔·莱昂内,剧情|西部,非常hope|非常love,tt0064116
71,摇篮,The Forge,2024,8.278,308,亚历克斯·肯德里克,剧情|家庭,非常hope|值得一看|情感真挚,tt26731216
72,生活多美好,It's a Wonderful Life,1946,8.3,4658,Frank Capra,剧情|家庭|奇幻,非常hope|悲伤但充满希望|非常sadness,tt0038650
