movie_id,title,year,rank,anger,fear,hope,inspiration,joy,loneliness,love,peace,sadness,tension
372754,同级生,2016,57,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
207,死亡诗社,1989,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10494,未麻的部屋,1998,59,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667
101,这个杀手不太冷,1994,60,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25
15804,牯岭街少年杀人事件,1991,61,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
533514,紫罗兰永恒花园 剧场版,2020,62,0.0,0.0,0.0,0.0,0.333,0.0,0.333,0.0,0.333,0.0
652837,乔西的虎与鱼,2020,63,0.0,0.0,0.0,0.0,0.667,0.0,0.333,0.0,0.0,0.0
914,大独裁者,1940,64,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599,日落大道,1950,65,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
644479,献给我的前妻,2019,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1139087,从前有个工作室,2023,67,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
42269,我们如此相爱,1974,68,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3082,摩登时代,1936,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
335,西部往事,1968,70,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
1186532,摇篮,2024,71,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1585,生活多美好,1946,72,0.0,0.0,0.429,0.0,0.0,0.0,0.0,0.0,0.571,0.0
18491,新世纪福音战士剧场版：Air / 真心为你,1997,73,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
77338,触不可及,2011,74,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
28,现代启示录,1979,75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1356039,边境奇袭,2025,76,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.667
92321,萤火之森,2011,77,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
632632,GIVEN 被赠与的未来 剧场版,2020,78,0.143,0.0,0.0,0.0,0.571,0.0,0.286,0.0,0.0,0.0
901,城市之光,1931,79,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
975,光荣之路,1957,80,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
637920,七号房的礼物,2019,81,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
