movie_id,title,original_title,plot,genres,year,rating,vote_count,director,runtime,tagline,mood_tags,dominant_emotions,review_count,tmdb_top_rated_rank
550,搏击俱乐部,Fight Club,杰克( 爱德华·诺顿 Edward Norton 饰)是一个充满中年危机意识的人，他非常憎恨自己的生活及一切，再加上他患有严重的失眠症，所以他常常参加各种团体咨询会，只为了能接触人群。在某一个团体咨询会上，杰克遇上了一个跟他同样理由来参加的女烟枪，玛拉(海伦娜·邦汉·卡特 Helena Bonham Carter  饰)，在莫名激素的影响下，杰克和玛拉一起逃离了咨询会，两人的情愫因而滋生…  一个偶然的机会，杰克遇到了卖肥皂的商人泰勒(布拉德·皮特 Brad Pitt 饰)，一个浑身充满叛逆、残酷和暴烈的痞子英雄，并因为自己公寓失火而住进了泰勒破旧不堪的家中。两人因缘际会地成为了好朋友，并创立了“搏击俱乐部”：一个让人们不戴护具而徒手搏击，宗旨在于发泄情绪的地下组织。,剧情|惊悚,1999,8.438,31043,大卫·芬奇,139,搏击俱乐部的第一条规则是你不要谈论搏击俱乐部,非常anger|值得一看|情感真挚,anger,5,21
667257,妙不可言,Cosas imposibles,生活是如此奇妙且难以预测，有时会在最不经意的地方发现幸福：一位七旬老妪和她的少年邻居之间产生了深厚的友谊。,家庭|剧情,2021,8.44,417,Ernesto Contreras,88,,非常joy|非常sadness,joy|sadness,0,22
14537,切腹,切腹,一位年长的浪人武士来到一位封建领主的府邸，请求找个体面的地方自尽。但当浪人打听一位比他先到的年轻武士的情况时，事情却发生了意想不到的转变。,动作|剧情|历史,1962,8.4,1130,小林正树,135,男人的尊严，男人的挣扎。,非常tension|非常sadness,tension|sadness,2,23
11216,天堂电影院,Nuovo Cinema Paradiso,　　在意大利南部小镇姜卡尔多，童年的小多多不仅喜欢看电影，还喜欢看放映师艾弗达“剪”电影：在40年代的意大利小镇上，电影在放映之前都要经由牧师检查，把认为观众不宜的镜头（比如接吻戏）严格地剪掉之后，才可以放映。好心的艾佛特为了让更多的观众看到电影，搞了一次露天电影，结果胶片着火了，多多把艾弗达从火海中救了出来，但艾弗达双目失明。多多成了小镇唯一会放电影的人，他接替艾佛特成了小镇的电影放映师。多多渐渐长大，他爱上了银行家的女儿艾莲娜。初恋的纯洁情愫美如天堂，但是一对小情侣的海誓山盟被艾莲娜父亲的阻挠给隔断了，托托去服兵役，而艾莲娜去念大学。伤心的多多在艾佛达的鼓励下，离开小镇，追寻自己生命中的梦想……30年后，艾佛达去世，此时的多多已经是功成名就的导演，他回到了家乡参加艾弗达的葬礼。老放映员留给他一份礼物，原来是当初被镇上的检查员勒令剪掉的吻戏胶片。多多看着这些镜头，突然发现自己已经理解了生命中的一切。,剧情|爱情,1988,8.43,4657,朱塞佩·托纳多雷,124,青春、友谊与电影永恒魅力的颂扬。,非常joy|非常love|温暖治愈,joy|love,4,24
598,上帝之城,Cidade de Deus,"巴西里约热内卢的贫民窟，这里是“上帝之城”，更是魔鬼也会叹息着转身的地方。 阿炮带着我们到了这里，他见证了这里二十多年来被残暴、贪婪、复仇、野心、背叛、掠夺所裹挟的混乱生活以及最终导致的一场灾难性的黑帮争斗。虽然从小就要 辗转于匪徒间求生存，但胆小怕事的性格与自我保护的本能却使他一直能平安度日。 60年代初，阿毛、阿夹和阿呆是这里的“少年三侠”，在抢劫完旅馆之后，他们三人分道扬镳，阿夹重回上帝的怀抱，而阿呆和阿毛纷纷付出了生命的代价。 70年，当年“少年三侠”手下的小弟小豆子靠着自己的心狠手辣，不停地吞并别人的地盘，成为了贫民区的“小霸王”，生意也从抢劫升级到了更为暴利的毒品买卖，和他一起飞黄腾达的还有班尼。 班尼认识了美丽的安迪丽卡，准备归隐，在送别的晚会上，他意外被对头杀害，悲痛之下，“小霸王”集合人手给班尼报仇，帮派之间的厮杀就此开始。 此时的阿炮，机缘巧合下成为了杂志社的见习摄影师，他的相机，照下的却是孩子们持枪荷弹的狰狞，和帮派间无休无止的仇杀。",剧情|犯罪,2002,8.427,7888,费尔南多·梅里尔斯,129,,非常anger|非常sadness,sadness|anger,2,25
120,指环王1：护戒使者,The Lord of the Rings: The Fellowship of the Ring,在古老的中土世界，一个名叫佛罗多·巴金斯的年轻人无意中得到了一枚魔戒。 这只戒指拥有无穷的神秘力量，戒指原本是黑暗君王索隆所有的，却意外地到了佛罗多手里。弗罗多决定将戒指摧毁，以免索隆夺回去巩固自己的势力。索隆为了阻止佛罗多，派出了手下的奥克斯加以追杀，一场正邪大战眼看着一触即发。,冒险|奇幻|动作,2001,8.426,26650,彼得·杰克逊,228,至尊戒 驭众戒,值得推荐|非常joy|情感丰富,joy,5,26
539,惊魂记,Psycho,凤凰城的一名秘书挪用了雇主客户的4万美元，然后逃亡，住进了一家偏僻的汽车旅馆，旅馆由一个名叫诺曼·贝茨的年轻人经营，而诺曼·贝茨则受他母亲的控制。,恐怖|惊悚|悬疑,1960,8.4,10646,阿尔弗雷德·希区柯克,109,,值得推荐|非常joy|情感丰富,joy,5,27
40096,蛊惑兄弟,O Auto da Compadecida,智高和杰克，一对患难穷兄弟，四出寻找工作，最终在面包店找到差事。但店主极为刻薄，兄弟俩的食物比狗还要差。阴差阳错，他们弄死了店主的狗，更要哄骗神父替小狗祈福，闹出笑话连篇。及后智高暗恋大财主之女路仙霞。但智高过于害羞，久久未能成事；杰克唯有替智高制造机会。一日，镇里来了一班悍匪，洗劫村民之余，更进行杀戮游戏……,喜剧|剧情|奇幻|爱情,2000,8.4,1192,Guel Arraes,104,,温暖治愈|非常joy|非常love|非常sadness,joy|sadness|love,1,28
510,飞越疯人院,One Flew Over the Cuckoo's Nest,剧本改编自肯·克西的同名小说，曾获1975年第48届奥斯卡最佳影片，最佳男、女主角，最佳导演和最佳改编剧本五项至尊大奖。据导演米洛斯·福曼所说，这部电影其实是从他由布拉格之春之后铁幕捷克逃到美国的个人经历而改编的。这次经历，使他明白到任何的梦想的实现机会可能不高，但若连这个机会都放弃的话，这个梦想可实现的机会就只有零。而这种精神，也非常切合美国人一向提倡的美国精神。,剧情,1975,8.413,11061,米洛斯·福尔曼,133,如果他疯了，那你怎么了？,非常hope|值得一看|情感真挚,hope,4,29
121,指环王2：双塔奇兵,The Lord of the Rings: The Two Towers,阿拉贡、精灵莱戈拉斯、矮人金利一路追踪兽人，营救皮平和梅利，遇到了“复活”的白袍巫师甘道夫。此时，依附于索伦的白袍巫师萨鲁曼控制了洛汗国王，并派出大量的兽人军队准备消灭人类。阿拉贡、莱戈拉斯和金利在甘道夫的带领下，帮助洛汗王国对抗兽人的入侵。皮平和梅利被会说话的树精救了出来，并且遇到“复活”的甘道夫，在甘道夫的授意下，树精保护了两人的安全，并且带他们参加树精大会，树精们讨论对中土大战的态度：是继续中立，还是奋起反抗？在咕噜的带领下，弗罗多到达了末日山脉的入口：黑门。就在他们准备进入之时，博罗米尔的弟弟法拉米尔出现。弗罗多又遇上了新的危机：法拉米尔想利用魔戒的力量对抗萨鲁曼。,冒险|奇幻|动作,2002,8.411,23140,彼得·杰克逊,235,一股新力量正在崛起,非常hope|值得一看|情感真挚,hope,5,30
